id;city_id;"city_name";"country";latitude;longitude;"tabooWords";number_played
1;1;"Hiroshima";"Japan";34.38520300;132.45529300;"atomic bombs; castles; parks; humid; gardens; rebuilt; coastlines; wars; pancakes; shrines; cherry blossoms; peace; oleanders";3
2;2;"Paris";"France";48.85661400;2.35222200;"capital; cafes; rivers; museums; cathedrals; art; monuments; towers; palaces; romances; terrorists; baguettes; pastries; fashion";3
3;3;"Sydney";"Australia";-33.79451450;150.36192700;"bridges; beaches; harbours; operas; barbecues; convicts; surfing; eucalyptus; kangaroos; harbor; snakes; sharks; koalas";3
4;4;"Hong Kong";"Hong Kong";22.39642800;114.10949700;"industry; trade; banks; luxury cars; food";3
5;5;"Venice";"Italy";45.44084700;12.31551500;"gondolas; canals; art; water; pizzas; romantic; gondoliers; bridges; renaissance; architecture; blinds; smell";3
6;6;"Moscow";"Russia";55.75582600;37.61730000;"cathedrals; snow; cultures; communism; tyranny; languages";3
7;7;"Beijing";"China";39.90421100;116.40739500;"historical; governments; modern; businesses; bicycles; smog; crowds; pandas";3
8;8;"Amsterdam";"Netherlands";52.37021600;4.89516800;"canals; art; drugs; museums; weed; prostitutes; wind mills; tulips";3
9;9;"Jerusalem";"Israel";31.76831900;35.21371000;"religions; holy; wars; walls; settlements; heritage; falafels";3
10;10;"Athens";"Greece";37.98391700;23.72936000;"capitals; history; ancient; goddesses; mythology; ruins; statues; cultures; philosophy; beaches; fetas; retsinas; democracy";3
11;11;"Tokyo";"Japan";35.68948700;139.69170600;"skyscrapers; busy; parks; sushis; pop cultures; subways; companies; cherry trees";3
12;12;"Buenos Aires";"Argentina";-34.61546110;-58.57340850;"governments; music; nightlife; food; steaks; bars; port; wines";3
13;13;"Mumbai (formerly Bombai)";"India";19.07598400;72.87765600;"tropical climate; islands; festivals; bollywood; films; cows; curry; seasports";3
14;14;"Rio de Janeiro";"Brazil";-22.91035520;-43.72854280;"beaches; carnival; monuments; bananas; parades; crowds; dances; soccer; poverty";3
15;15;"Rome";"Italy";41.91024160;12.25579770;"capital; art; history; tourism; religion; ancient; pope; sightseeing; colliseum; empire";4
16;16;"Prague";"Czech Republic";50.07553800;14.43780000;"capital; castles; old town; theatres; museums; communism; gothic; stag parties; music; galleries";3
17;17;"London";"United Kingdom";51.50735100;-0.12775800;"capital; palaces; towers; bridges; rivers; queen; guards; fish and chips; royalty; tours; clocks";3
18;18;"Boston";"United States";42.36008200;-71.05888000;"basketball; tea party; marathons; colleges; clam chowder; universities; pilgrims; seafood";3
19;19;"San Francisco";"United States";37.77492900;-122.41941600;"bridges; water; earthquakes; gold; parks; homosexuals; trams; seafood";3
20;20;"Istanbul";"Turkey";41.00823800;28.97835900;"football; earthquakes; history; tobacco; kebabs; empire; olives; old work; peninsula; sea";3
21;21;"New York";"United States";40.71278400;-74.00594100;"skyscraper; music; city; rivers; cabs; entertainment; statues; crowds; apples; money";5
22;22;"Berlin";"Germany";52.52000700;13.40495400;"capital; walls; beers; politics; refugees; sausages; rebuilt; financial center; sports; cold war; history; watchtowers; graffitis";4
23;23;"Dubai";"United Arab Emirates";25.20484900;55.27078300;"deserts; skyscrapers; wealth; hijab; rich people; tourism; abaya; old world; oil";3
24;24;"Honolulu";"United States";19.89676600;-155.58278200;"beaches; palm trees; tropical; island; sand; surfing; hulas; flowers; volcano; skirts";3
25;25;"Barcelona";"Spain";41.38506400;2.17340300;"flamenco; architecture; art; gardens; football; waterfront; dances; cathedrals; cultures; independent; rich; autonomous";3
26;26;"Kyoto";"Japan";35.01163600;135.76802900;"temples; nature; islands; palaces; gardens; kimonos; sake; subtropical";3
27;27;"Bruges";"Belgium";51.20934800;3.22470000;"history; rivers; arts; canals; laces; chocolates; mayonnaise; festivals; bicycles; cheeses; fries; windmills";3
28;28;"Chicago";"United States";41.87811400;-87.62979800;"hot dogs; lakes; cold; pizzas; lakes; skyscrapers; shopping; museums; baseball; sculptures";4
29;29;"Cincinnati";"United States";39.13625620;-84.68048650;"chilis; city; football; rivers; pigs; borders; immigration; jazz";3
30;30;"Vienna";"Austria";48.20817400;16.37381900;"music; composers; art; sausages; pianos; palaces; museums; orchestra; culture; fashion";3
31;31;"Beirut";"Lebanon";33.88862900;35.49547900;"capital; wars; ancient; historical; multicultural; prehistoric; damaged";3
32;32;"Bangkok";"Thailand";13.75633100;100.50176500;"capital; temples; food; rivers; third world; prostitution; canoes; smell; transportation hub; street markets; bargaining";3
33;33;"Florence";"Italy";43.76956000;11.25581400;"arts; fashion; history; wines; opera; museums; cathedrals; architectures; palaces; politics; leathers";3
34;34;"Budapest";"Hungary";47.49791200;19.04023500;"capital; rivers; architectures; wines; startups; technology; baths; old world; spas";4
35;35;"Cairo";"Egypt";30.04442000;31.23571200;"pyramids; museums; tombs; deserts; sand; antiquities; rivers; camels; bazars; mumies";3
36;36;"Marrakesh";"Morocco";31.62947200;-7.98108400;"food; trade; turbans; tourism; cliff walls; colors; markets; mosques; camels";3
37;37;"Singapore";"Singapore";1.35208300;103.81983600;"islands; busy; orchids; gardens; business center; flora; religions";3
38;38;"Bucharest";"Romania";44.42764100;26.10200300;"palaces; festivals; neo-classical architectures; cultures; financial centers; churches";3
39;39;"Wellington";"New Zealand";-41.28646000;174.77623600;"kiwis; cultural centers; city; rural areas";3
40;40;"Lisbon";"Portugal";38.72225200;-9.13933700;"fishing; sardines; earthquakes; football; history: oils; museums; olives; ports; hills";3
41;41;"New Delhi";"India";28.61393900;77.20902100;"temples; cows; festivals; spice stalls; beggars; landscaped gardens; crowds; food; observatory; crickets; markets; religious festivals; poverty";3
42;42;"Las Vegas";"United States";36.16994100;-115.13983000;"casinos; shows; entertainment; magic; marriages; dances; nightlife; money; hotels; deserts; gaming; prostitution";3
43;43;"Mecca";"Saudi Arabia";21.38908200;39.85791200;"muslims; deserts; worship; wars; pilgrimages; saudis; pilgrims; holy; walls; polygenism";3
44;44;"Madrid";"Spain";40.41677500;-3.70379000;"capital; arts; bullfightings; architectures; soccer; monuments; baroque; churches; cuisine; nightlife; subways";3
45;45;"Stockholm";"Sweden";59.32932300;18.06858100;"capital; museums; palaces; islands; amusement parks; mountains; designs; meatballs; pop music";3
46;46;"Saint Petersburg";"Russia";59.93428000;30.33509900;"ballets; operas; history; coastal; revolutions; literature; cathedrals; museums; former capital; orchestras";3
47;47;"Dublin";"Ireland";53.34980500;-6.26031000;"capital; castles; rivers; beers; cathedrals; rolling hills; bridges; green; water; bicycles; universities; stouts";3
48;48;"Shanghai";"China";31.23041600;121.47370100;"skyscrapers; pollution; museums; technology; cinemas; large; parades; waterfronts; colonial; rivers; shipbuilding";3
49;49;"Copenhagen";"Denmark";55.67609700;12.56833700;"museums; palaces; pastries; cheeses; crowded city; gardens; rivers; cold weather; vikings";3
50;50;"Portsmouth";"United Kingdom";50.81666700;-1.08333300;"ports; navys; sailing; ships; harbours; football; flagships; boats";3
51;51;"Funchal";"Portugal";32.66016870;-16.99488320;"ports; cliffs; flowers; islands; coasts; mountainous; wines; rains; cheeses";3
52;52;"Kiev";"Ukraine";50.45010000;30.52340000;"capital; chickens; monasteries; operas; cultures; pilgrimages; domes; historic";4
53;53;"Milan";"Italy";45.46542200;9.18592400;"fashion; museums; arts; football; cathedrals; wealth; architectures; industries";3
54;54;"Cancún";"Mexico";21.16190800;-86.85152800;"beaches; vacations; hurricanes; drugs; tourism; spring breaks; gold; lagoons; ocean; forests; coral reefs; clubs";5
55;55;"Agra";"India";27.17667000;78.00807500;"world wonders; ancient city; mosques; love story; battles; emperors; gardens; marbles; tourists";3
56;56;"Brussels";"Belgium";50.85034000;4.35171000;"capitals; sprouts; cathedrals; bombings; terrorism; cultures; galleries; grey; multilingual";3
57;57;"Seoul";"South Korea";37.56653500;126.97796900;"capital; mountains; sports; crowds; athletes; technology; subways; coffees; cell phones";3
58;58;"Edinburgh";"United Kingdom";55.95325200;-3.18826700;"castles; kilts; festivals; education;  universities; extinct volcanos; rugby";3
59;59;"Kuala Lumpur";"Malaysia";3.13900300;101.68685500;"capital; tropical; textiles; skybridges; pollution; gold; skyscrapers; markets; spicy food; shopping; traffic";3
60;60;"Los Angeles";"United States";34.05223400;-118.24368500;"films; traffic; celebrities; angels; busy; gang violences; palm trees; beaches; actors; wealth; telivisions; police";3
61;61;"Miami";"United States";25.76168000;-80.19179000;"beaches; tropical; spring breaks; suns; humid; hot; sea; sand; bikinis; palm trees; nightlife";4
62;62;"Toronto";"Canada";43.65322600;-79.38318400;"languages; hockey; skyscrapers; baseballs; mounties; syrups; educations; waterfronts";3
63;63;"Vancouver";"Canada";45.63872800;-122.66148600;"coasts; fishing; skyscrapers; mountains; rains; ocean; galleries; diverse; multicultural";3
64;64;"Mexico City";"Mexico";19.43260800;-99.13320800;"capital; hot; ancient; indigenous; historic; food; religions; cultures; high elevation; populous; temples; landlocked; businesses";3
65;65;"Seattle";"United States";47.60620900;-122.33207100;"rains; coffees; mountains; forests; seafood; markets; stadiums; crabs";3
66;66;"Munich";"Germany";48.13512500;11.58198100;"architectures; football; forests; sausages; opera house; trams; cathedrals; sculptures; beer festivals; palaces";3
67;67;"Washington";"United States";38.90719200;-77.03687100;"capitals; governments; monuments; cherry trees; politicians; presidents";3
68;68;"Montreal";"Canada";45.50168900;-73.56725600;"hockey; cold; mountains; languages; mixtures; mounties; melting pot; olympics";4
69;69;"Atlanta";"United States";33.76791880;-84.56103560;"peaches; tobacco; rap music; mountains; factories; transportation hub; rainfalls; rolling hills; country music; televisions; baseballs; sweet teas";3
70;70;"Philadelphia";"United States";39.95258400;-75.16522200;"history; bells; rivers; sandwiches; cream cheeses; eagles; towers; music; liberty; skyscrapers; pretzels; vendors";3
71;71;"San Diego";"United States";32.71573800;-117.16108400;"zoos; beaches; biotechnology; wildfires; surfers; safari parks; beers; borders; theme parks; football; palm trees; militaries; democratic";3
72;72;"Warsaw";"Poland";52.22967600;21.01222900;"capital; ghettos; churches; politics; skyscrapers; dumpling soups; jazz clubs; religions; tourists; synagogues; vodka; poverty";3
73;73;"Dallas";"United States";32.77666400;-96.79698800;"rodeos; hot; oils; cowboys; dry; football; steaks; money; barbeques; boots; stetsons; economy";3
74;74;"Oslo";"Norway";59.91386900;10.75224500;"capital; cold; reindeers; fjords; snow; skiing; languages; peace prizes; lakes";3
75;75;"Johannesburg";"South Africa";-26.20410300;28.04730500;"capital; wealthy; mining; shanty town; apartheid; history; diamonds; struggles";3
76;76;"Antalya";"Turkey";36.89689100;30.71332300;"blue waters; baths; mosques; mountains; walls; ports; resorts; sea";4
77;77;"Sarajevo";"Bosnia and Herzegovina";43.89388520;18.24290390;"capital; wars; sports; bombs; stadiums; athletes; cold winters";3
78;78;"Havana";"Cuba";23.05091960;-82.47280000;"capital; cigars; architectures; tropical; revolutions; sea; islands; history; communism; rum; beaches; music; old cars; dictatorship";3
79;79;"Santo Domingo";"Dominican Republic";18.48052610;-70.01694010;"capital; fortresses; governments; baseballs; beaches; palatial houses; ports; poverty";3
80;80;"Taipei";"Taiwan";25.03296900;121.56541800;"museums; skyscrapers; panoramas; mountains; folklores; temples; nightclubs; shopping";3
81;81;"Orlando";"United States";28.53833500;-81.37923600;"palm trees; amusement parks; alligators; oranges; sinkholes; basketballs; suns; aquariums; spring breaks; skyscrapers; cruises; hurricanes";3
82;82;"Addis Ababa";"Ethiopia";8.96348970;38.63805330;"capital; museums; gold; parks; racecourses; mausoleums; arts; martyrs; fossils";3
83;83;"Bali";"Indonesia";-8.40951800;115.18891600;"islands; beaches; tourism; mountains; crowds; romances; coasts; fabrics; art movements; asins";3
84;84;"São Paulo";"Brazil";-23.55052000;-46.63330900;"skyscrapers; samba; entertainment; slums; soybeans; cathedrals; promiscuity; plateaus; traffic; statues; football; monsoons";3
85;85;"Jakarta";"Indonesia";-6.20876300;106.84559900;"third world; crowds; colors; coasts; colonial; noises; indigenous; religions";3
86;86;"Auckland";"New Zealand";-36.84846000;174.76333200;"warm weather; islands; volcanos; mountains;  kiwis; transportation centers; wines; green";4
87;87;"Honolulu";"United States";21.30694400;-157.85833300;"capital; beaches; volcanos; warm; surfing; flowers; islands; ports; sun; grass skirts; tourists; tourism; rainbows";3
88;88;"New Orleans";"United States";29.95106600;-90.07153200;"beaches; volcanos; warm; surfing; flowers; islands; ports; sun; grass skirts; tourists; tourism";3
89;89;"Melbourne";"Australia";-37.85895460;144.51916090;"kangaroos; urban; koalas; tourism; governments; museums; tennis";3
90;90;"Luxor";"Egypt";25.68724300;32.63963600;"pyramids; ancient; deserts; sand; temples; mummies; tombs; archaeology; rivers; landmarks";3
91;91;"Houston";"United States";29.76042700;-95.36980300;"oils; barbecues; ranchers; baseballs; rodeos; spaces; cowboys; traffic; hockey; tornadoes";4
92;92;"Manila";"Philippines";14.59951200;120.98421900;"capital; densely populated; tropical; seaports; tourism; commerce centers; colonial; shopping; traffic; sports; night life; eclectic; pollution";3
93;93;"Zürich";"Switzerland";47.36865000;8.53918300;"capital; mountains; snow; cold; lakes; skiing; watches; banking centers; chocolates";6
94;94;"Lima";"Peru";-12.04637400;-77.04279300;"capital; mountains; monastry; ruins; beaches; altitudes; fountains; spicy food";3
95;95;"Bogotá";"Colombia";4.71098900;-74.07209200;"capital; parks; kidnapping; cocaine; cartels; savannas; crimes; dangers";3
96;96;"Gran Canaria";"Spain";27.92022000;-15.54743700;"islands; bird parks; caves; tourism; white sand; nature reserves; parks; ocean; archipelago";4
97;97;"Frankfurt";"Germany";50.11092200;8.68212700;"sausages; beers; operas; cathedrals; architectures; banks; pretzels; skyscrapers";3
98;98;"Seville";"Spain";37.38909200;-5.98445900;"cathedrals; palaces; architectures; dancing; harbors; history; music; flamenco";3
99;99;"Nice";"France";43.71017300;7.26195300;"beaches; snails; champagnes; observatory; museums; promenades; films; ratatouille";3
100;100;"Hamburg";"Germany";53.55108500;9.99368200;"banking; beers; canals; ports; riverss; historical; warehouse district; festivals; burgers; media; industries; sausages";3
101;101;"Naples";"Italy";40.85358600;14.17296680;"sea; ports; large; historic; wars; history; culture; organized crimes";3
102;102;"Granada";"Spain";37.17733600;-3.59855700;"palaces; mountains; historic; gardens; pomegranates; skiing";3
103;103;"Reykjavík";"Iceland";64.12652100;-21.81743900;"capital; volcanos; coastal; cold; lavas; fishing; vikings; lagoons; glaciers";3
104;104;"Düsseldorf";"Germany";51.22774100;6.77345600;"rivers; beers; capital; carnivals; military bases; towers";4
105;105;"Manchester";"United Kingdom";53.48075900;-2.24263100;"soccer; stadiums; cotton; old; politics; ship canals; media; pints; beers; trams; industries; comedy";3
106;106;"València";"Spain";39.46990700;-0.37628800;"festivals; paellas; costumes; food; peninsula; beaches; tomatoes; seaside";3
107;107;"Pisa";"Italy";43.72283900;10.40168900;"towers; churches; pizzas; pastas; historic; rivers; tourists; palaces; maritime; canals";3
108;108;"Liverpool";"United Kingdom";53.40837100;-2.99157300;"football; music; canals; pubs; docks; trams; rivers; factories; working classes; cathedrals; racecourses; ferries";3
109;109;"Helsinki";"Finland";60.17332400;24.94102500;"cold; capital; reindeers; gulf; docks; vikings; coastal";3
110;110;"Porto";"Portugal";41.15794400;-8.62910500;"football; caves; bridges; sardines; bookshops; concerts; estuary; cathedrals";2
111;111;"Verona";"Italy";45.43838400;10.99162200;"history; loves; operas; plays; cultures; tourism; architectures";3
